buy_date,buy_price,shares,cost
2023-07-13,17061.4,1,17061.4
2023-07-14,17283.71,1,17283.71
2023-07-17,17334.29,1,17334.29
2023-07-18,17227.91,1,17227.91
2023-07-31,17145.43,1,17145.43
2024-01-02,17853.76,2,35707.52
2024-01-22,17815.1,2,35630.2
2024-01-23,17874.59,2,35749.18
2024-01-24,17875.83,2,35751.66
2024-01-25,18002.62,2,36005.24
2024-01-26,17995.03,2,35990.06
2024-01-29,18119.63,2,36239.26
2024-01-30,18034.63,2,36069.26
2024-02-15,18644.57,1,18644.57
2024-02-20,18753.16,1,18753.16
2024-02-22,18852.78,1,18852.78
2024-02-23,18889.19,1,18889.19
2024-02-27,18854.41,1,18854.41
2025-04-28,20034.41,2,40068.82
2025-04-29,20232.63,2,40465.26
2025-04-30,20235.03,2,40470.06
2025-05-02,20787.64,2,41575.28
2025-05-05,20532.99,2,41065.98
2025-05-09,20915.04,2,41830.08
2025-05-12,21129.54,2,42259.08
2025-05-13,21330.14,2,42660.28
2025-05-14,21782.87,2,43565.74
2025-05-15,21730.25,2,43460.5
2025-05-16,21843.69,2,43687.38
2025-05-21,21803.91,2,43607.82
2025-12-04,27795.71,1,27795.71
2025-12-05,27980.89,1,27980.89
2025-12-08,28303.78,1,28303.78
2025-12-09,28182.6,1,28182.6
2025-12-10,28400.73,1,28400.73
2025-12-11,28024.75,1,28024.75
2025-12-26,28556.02,1,28556.02
